Season,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
2019,"MIN",6392,0.082133917,0.208698372,0.393553223,0.269888346,0.337513716,0.494068387,0.831582103,0.224180041,0.300096805,953.0662880220639,148.84001806166057,0.34687732080874784,116.39827427080644
2019,"NYY",6245,0.09111289,0.230104083,0.395963813,0.26741895,0.338626884,0.489879992,0.828506876,0.222461042,0.306480764,927.4683911060986,141.73731227275678,0.34639191979415324,116.77614155570582
2019,"OAK",6269,0.092199712,0.213431169,0.431988041,0.248876101,0.327211753,0.448300665,0.775512418,0.199424564,0.281609195,829.1381177610652,40.38741588657081,0.3274366984375006,107.12993858745526
2019,"SEA",6199,0.094854008,0.255041135,0.371916508,0.237272727,0.315542616,0.424,0.739542616,0.186727273,0.286790422,748.4524172481243,-31.491050756340854,0.3141097788713448,98.86174415576524
2019,"TBR",6285,0.086237072,0.237549721,0.363027461,0.25355366,0.32531464,0.431236673,0.756551313,0.177683013,0.306174089,794.7029187817604,3.939134879830446,0.3206100406996526,104.03600350622158
2019,"TEX",6204,0.0860735,0.25435203,0.338403041,0.24801444,0.319320937,0.430866425,0.750187362,0.182851985,0.304255881,765.6256854596112,-14.94687067842745,0.3172318134544463,87.62781321421627
2019,"TOR",6091,0.083565916,0.248563454,0.336195508,0.236482796,0.305020576,0.428181321,0.733201897,0.191698525,0.279787234,712.0756347574433,-54.27952956183351,0.3096895100750023,92.40112398189254
2019,"ARI",6315,0.085510688,0.215360253,0.397058823,0.251908396,0.322934903,0.434404402,0.757339305,0.182496006,0.292939164,786.3085769423959,-8.229735760975197,0.31918349976117505,93.37309473676017
2019,"ATL",6302,0.098222786,0.232783243,0.421949556,0.257553956,0.336467963,0.452158273,0.788626236,0.194604317,0.304975509,855.2098508883032,62.307167332223386,0.3320723753981143,100.97990784584125
2019,"CHC",6195,0.09378531,0.23567393,0.397945205,0.252334737,0.33127839,0.45193188,0.78321027,0.199597143,0.296511627,826.8338657587002,47.39366826109382,0.329643922545474,100.37900173646676
2019,"CIN",6100,0.080655737,0.235409836,0.342618384,0.243669724,0.314808707,0.421651376,0.736460083,0.177981652,0.288219895,721.2750494780886,-46.212473481620634,0.31188151121415886,84.96025592243848
2019,"COL",6288,0.077767175,0.239026717,0.325349301,0.265371024,0.326222935,0.45565371,0.781876645,0.190282686,0.321428571,828.8188274746918,37.67759069261797,0.3278860276927887,87.22108401344322
2019,"MIA",6045,0.065343258,0.243010752,0.268890401,0.240566037,0.298353567,0.374637155,0.672990722,0.134071118,0.300254452,590.496023755127,-170.0715297352734,0.28802278806353404,78.51319325918163
2019,"HOU",6394,0.100875821,0.182358461,0.553173241,0.274006769,0.352452593,0.495456974,0.847909567,0.221450205,0.296489563,996.2283694733176,191.75046425948474,0.35467182551256,124.17677254329935
2019,"LAD",6282,0.096625278,0.215854823,0.447640117,0.257371678,0.337562229,0.471969421,0.80953165,0.214597743,0.290727459,884.1018423622849,93.71551134049884,0.3383423282683474,109.7182539089164
2019,"MIL",6309,0.099698842,0.247741321,0.402431222,0.246481414,0.329087724,0.438289426,0.76737715,0.191808012,0.296256968,814.0780155948869,20.29460865180412,0.3238325017368704,96.88763604292467
